Title,Price,In Stock,Category,URL
AMD Ryzen 3 4100 Renoir 4-Core 3.80GHz AM4 65W 100-100000510BOX Desktop Processor,1630.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-3-4100-renoir-4-core-3-80ghz-am4-65w-100-100000510box-desktop-processor.html
AMD Ryzen 5 4500 Renoir 6-Core 3.60GHz AM4 65W 100-100000644BOX Desktop Processor,1798.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-4500-renoir-6-core-3-60ghz-am4-65w-100-100000644box-desktop-processor.html
Intel Core i3-12100F Alder Lake 4-Core 3.30GHz LGA1700 58W BX8071512100F Desktop Processor,2141.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i3-12100f-alder-lake-4-core-3-30ghz-lga1700-58w-bx8071512100f-desktop-processor.html
AMD Ryzen 5 5500 Cezanne 6-Core 3.60GHz AM4 65W 100-100000457BOX Desktop Processor,2260.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-5500-cezanne-6-core-3-60ghz-am4-65w-100-100000457box-desktop-processor.html
AMD Ryzen 3 4300G Renoir 4-Core 3.80GHz AM4 65W 100-100000144BOX Desktop Processor,2681.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-3-4300g-renoir-4-core-3-80ghz-am4-65w-100-100000144box-desktop-processor.html
Intel Core i3-12100 Alder Lake 4-Core 3.30GHz LGA1700 60W BX8071512100 Desktop Processor,2805.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i3-12100-alder-lake-4-core-3-30ghz-lga1700-60w-bx8071512100-desktop-processor.html
Intel Core i3-13100F Raptor Lake 4-Core 3.40GHz LGA1700 58W BX8071513100F Desktop Processor,2867.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i3-13100f-raptor-lake-4-core-3-40ghz-lga1700-58w-bx8071513100f-desktop-processor.html
AMD Ryzen 5 5500GT Vermeer 6-Core 3.6GHz AM4 65W 100-100001489BOX Desktop Processor,3013.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-5500gt-vermeer-6-core-3-6ghz-am4-65w-100-100001489box-desktop-processor.html
Intel Core i5-12400F Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400F Desktop Processor,3077.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-12400f-alder-lake-6-core-2-50ghz-lga1700-65w-bx8071512400f-desktop-processor.html
AMD Ryzen 5 5600G Cezanne 6-Core 3.90GHz AM4 65W 100-100000252BOX Desktop Processor,3292.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-5600g-cezanne-6-core-3-90ghz-am4-65w-100-100000252box-desktop-processor.html
AMD Ryzen 5 5600X Vermeer 6-Core 3.70GHz AM4 65W 100-100000065BOX Desktop Processor,3634.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-5600x-vermeer-6-core-3-70ghz-am4-65w-100-100000065box-desktop-processor.html
Intel Core i5-11400F Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400F Desktop Processor,3724.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11400f-rocket-lake-6-core-2-60ghz-lga1200-65w-bx8070811400f-desktop-processor.html
Intel Core i5-12400 Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400 Desktop Processor,3749.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-12400-alder-lake-6-core-2-50ghz-lga1700-65w-bx8071512400-desktop-processor.html
Intel Core i5-11400 Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400 Desktop Processor,4407.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11400-rocket-lake-6-core-2-60ghz-lga1200-65w-bx8070811400-desktop-processor.html
AMD Ryzen 7 5700X Vermeer 8-Core 3.40GHz AM4 65W 100-100000926WOF Desktop Processor,4471.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-5700x-vermeer-8-core-3-40ghz-am4-65w-100-100000926wof-desktop-processor.html
Intel Core i5-12600KF Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600KF Desktop Processor,4631.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-12600kf-alder-lake-10-core-3-70ghz-lga1700-125w-bx8071512600kf-desktop-processor.html
AMD Ryzen 7 Pro 4750G Renoir 8-Core 3.60GHz AM4 65W 100-100000145MPK Desktop Processor,4830.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-pro-4750g-renoir-8-core-3-60ghz-am4-65w-100-100000145mpk-desktop-processor.html
AMD Ryzen 5 7600 Raphael 6-Core 3.80GHz AM5 65W 100-100001015BOX Desktop Processor,4944.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-7600-raphael-6-core-3-80ghz-am5-65w-100-100001015box-desktop-processor.html
AMD Ryzen 7 5700G Cezanne 8-Core 3.80GHz AM4 65W 100-100000263BOX Desktop Processor,4954.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-5700g-cezanne-8-core-3-80ghz-am4-65w-100-100000263box-desktop-processor.html
Intel Core i5-13500 Raptor Lake 14-Core 2.50GHz LGA1700 65W BX8071513500 Desktop Processor,5376.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-13500-raptor-lake-14-core-2-50ghz-lga1700-65w-bx8071513500-desktop-processor.html
AMD Ryzen 5 7600X Raphael 6-Core 4.70GHz AM5 105W 100-100000593WOF Desktop Processor,5500.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-5-7600x-raphael-6-core-4-70ghz-am5-105w-100-100000593wof-desktop-processor.html
Intel Core i5-11500 Rocket Lake 6-Core 2.70GHz LGA1200 65W BX8070811500 Desktop Processor,5587.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11500-rocket-lake-6-core-2-70ghz-lga1200-65w-bx8070811500-desktop-processor.html
Intel Core i5-12600K Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600K Desktop Processor,5809.00,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-12600k-alder-lake-10-core-3-70ghz-lga1700-125w-bx8071512600k-desktop-processor.html
Intel Core i5-11600 Rocket Lake 6-Core 2.80GHz LGA1200 65W BX8070811600 Desktop Processor,6084.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11600-rocket-lake-6-core-2-80ghz-lga1200-65w-bx8070811600-desktop-processor.html
AMD Ryzen 7 5700X3D Vermeer 8-Core 3.0GHz AM4 105W 100-100001503WOF Desktop Processor,6110.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-5700x3d-vermeer-8-core-3-0ghz-am4-105w-100-100001503wof-desktop-processor.html
AMD Ryzen 7 5800X3D Vermeer 8-Core 3.80GHz AM4 105W 100-100000651WOF Desktop Processor,7094.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-5800x3d-vermeer-8-core-3-80ghz-am4-105w-100-100000651wof-desktop-processor.html
Intel Core i5-14600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600KF Desktop Processor,7158.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-14600kf-raptor-lake-14-core-3-50ghz-lga1700-125w-bx8071514600kf-desktop-processor.html
Intel Core i5-13600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071513600KF Desktop Processor,7189.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-13600kf-raptor-lake-14-core-3-50ghz-lga1700-125w-bx8071513600kf-desktop-processor.html
Intel Core i5-11600KF Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600KF Desktop Processor,7326.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11600kf-rocket-lake-6-core-3-90ghz-lga1200-125w-bx8070811600kf-desktop-processor.html
AMD Ryzen 9 5900X Vermeer 12-Core 3.70GHz AM4 105W 100-100000061WOF Desktop Processor,7438.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-9-5900x-vermeer-12-core-3-70ghz-am4-105w-100-100000061wof-desktop-processor.html
Intel Core i7-12700KF Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700KF Desktop Processor,7459.00,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-12700kf-alder-lake-12-core-3-60ghz-lga1700-125w-bx8071512700kf-desktop-processor.html
Intel Core i5-11600K Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600K Desktop Processor,7512.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-11600k-rocket-lake-6-core-3-90ghz-lga1200-125w-bx8070811600k-desktop-processor.html
Intel Core i5-14600K Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600K Desktop Processor,7788.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i5-14600k-raptor-lake-14-core-3-50ghz-lga1700-125w-bx8071514600k-desktop-processor.html
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W CM8070804491214 Desktop Processor,7823.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-11700-rocket-lake-8-core-2-50ghz-lga1200-65w-cm8070804491214-desktop-processor.html
AMD Ryzen 7 7700X Raphael 8-Core 4.50GHz AM5 105W 100-100000591WOF Desktop Processor,7989.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-7700x-raphael-8-core-4-50ghz-am5-105w-100-100000591wof-desktop-processor.html
AMD Ryzen 7 8700G Phoenix 8-Core 4.20GHz AM5 65W 100-100001236BOX Desktop Processor,8018.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-8700g-phoenix-8-core-4-20ghz-am5-65w-100-100001236box-desktop-processor.html
Intel Core i7-12700F Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700F Desktop Processor,8071.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-12700f-alder-lake-12-core-2-10ghz-lga1700-65w-bx8071512700f-desktop-processor.html
Intel Core i7-12700 Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700 Desktop Processor,8195.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-12700-alder-lake-12-core-2-10ghz-lga1700-65w-bx8071512700-desktop-processor.html
Intel Core i7-11700F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700F Desktop Processor,8382.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-11700f-rocket-lake-8-core-2-50ghz-lga1200-65w-bx8070811700f-desktop-processor.html
Intel Core i7-11700KF Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700KF Desktop Processor,8692.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-11700kf-rocket-lake-8-core-3-60ghz-lga1200-125w-bx8070811700kf-desktop-processor.html
Intel Core i7-13700F Raptor Lake 16-Core 2.10GHz LGA1700 65W BX8071513700F Desktop Processor,8941.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-13700f-raptor-lake-16-core-2-10ghz-lga1700-65w-bx8071513700f-desktop-processor.html
AMD Ryzen 7 7800X3D Raphael 8-Core 4.20GHz AM5 120W 100-100000910WOF Desktop Processor,8957.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-7-7800x3d-raphael-8-core-4-20ghz-am5-120w-100-100000910wof-desktop-processor.html
AMD Ryzen 9 7900 Raphael 12-Core 3.70GHz AM5 65W 100-100000590BOX Desktop Processor,9102.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-9-7900-raphael-12-core-3-70ghz-am5-65w-100-100000590box-desktop-processor.html
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700 Desktop Processor,9313.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-11700-rocket-lake-8-core-2-50ghz-lga1200-65w-bx8070811700-desktop-processor.html
Intel Core i7-12700K Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700K Desktop Processor,9375.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-12700k-alder-lake-12-core-3-60ghz-lga1700-125w-bx8071512700k-desktop-processor.html
AMD Ryzen 9 7900X Raphael 12-Core 4.70GHz AM5 170W 100-100000589WOF Desktop Processor,9584.99,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-9-7900x-raphael-12-core-4-70ghz-am5-170w-100-100000589wof-desktop-processor.html
Intel Core i7-14700KF Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700KF Desktop Processor,9624.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-14700kf-raptor-lake-s-20-core-3-40ghz-lga1700-125w-bx8071514700kf-desktop-processor.html
Intel Core i7-11700K Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700K Desktop Processor,9934.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-11700k-rocket-lake-8-core-3-60ghz-lga1200-125w-bx8070811700k-desktop-processor.html
Intel Core i7-13700K Raptor Lake 16-Core 3.40GHz LGA1700 125W BX8071513700K Desktop Processor,10058.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-13700k-raptor-lake-16-core-3-40ghz-lga1700-125w-bx8071513700k-desktop-processor.html
Intel Core i9-12900KF Alder Lake 16-Core 3.20GHz LGA1700 125W BX8071512900KF Desktop Processor,10169.00,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i9-12900kf-alder-lake-16-core-3-20ghz-lga1700-125w-bx8071512900kf-desktop-processor.html
Intel Core i7-14700K Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700K Desktop Processor,10455.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i7-14700k-raptor-lake-s-20-core-3-40ghz-lga1700-125w-bx8071514700k-desktop-processor.html
Intel Core i9-12900K Alder Lake 16-Core 3.40GHz LGA1700 150W BX8071512900K Desktop Processor,10479.00,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i9-12900ks-alder-lake-16-core-3-40ghz-lga1700-150w-bx8071512900ks-desktop-processor.html
AMD Ryzen 9 7900X3D Raphael 12-Core 4.40GHz AM5 120W 100-100000909WOF Desktop Processor,10814.49,True,CPUs / Processors,https://www.rebeltech.co.za/amd-ryzen-9-7900x3d-raphael-12-core-4-40ghz-am5-120w-100-100000909wof-desktop-processor.html
Intel Core i9-12900F Alder Lake 16-Core 2.40GHz LGA1700 65W BX8071512900F Desktop Processor,11971.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i9-12900f-alder-lake-16-core-2-40ghz-lga1700-65w-bx8071512900f-desktop-processor.html
Intel Core i9-11900KF Rocket Lake 8-Core 3.50GHz LGA1200 125W BX8070811900KF Desktop Processor,12046.49,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i9-11900kf-rocket-lake-8-core-3-50ghz-lga1200-125w-bx8070811900kf-desktop-processor.html
Intel Core i9-11900F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811900F Desktop Processor,12418.99,True,CPUs / Processors,https://www.rebeltech.co.za/intel-core-i9-11900f-rocket-lake-8-core-2-50ghz-lga1200-65w-bx8070811900f-desktop-processor.html
